created_at,entry_id,field1,field2
2022-08-19 16:12:35 UTC,13387639,2.000000,18.000000
2022-08-19 16:12:50 UTC,13387640,2.000000,8.000000
2022-08-19 16:13:05 UTC,13387641,3.000000,0.000000
2022-08-19 16:13:20 UTC,13387642,4.000000,0.000000
2022-08-19 16:13:36 UTC,13387643,0.000000,0.000000
2022-08-19 16:13:51 UTC,13387644,1.000000,1.000000
2022-08-19 16:14:07 UTC,13387645,0.000000,3.000000
2022-08-19 16:14:22 UTC,13387646,2.000000,1.000000
2022-08-19 16:14:37 UTC,13387647,1.000000,0.000000
2022-08-19 16:14:52 UTC,13387648,0.000000,5.000000
2022-08-19 16:15:08 UTC,13387649,0.000000,2.000000
2022-08-19 16:15:24 UTC,13387650,1.000000,1.000000
2022-08-19 16:15:39 UTC,13387651,6.000000,0.000000
2022-08-19 16:15:54 UTC,13387652,1.000000,0.000000
2022-08-19 16:16:10 UTC,13387653,0.000000,5.000000
2022-08-19 16:16:26 UTC,13387654,0.000000,2.000000
2022-08-19 16:16:41 UTC,13387655,0.000000,4.000000
2022-08-19 16:16:57 UTC,13387656,4.000000,3.000000
2022-08-19 16:17:13 UTC,13387657,9.000000,6.000000
2022-08-19 16:17:28 UTC,13387658,11.000000,2.000000
2022-08-19 16:17:43 UTC,13387659,0.000000,0.000000
2022-08-19 16:17:59 UTC,13387660,0.000000,0.000000
2022-08-19 16:18:14 UTC,13387661,1.000000,0.000000
2022-08-19 16:18:30 UTC,13387662,3.000000,0.000000
2022-08-19 16:18:45 UTC,13387663,12.000000,4.000000
2022-08-19 16:19:00 UTC,13387664,18.000000,6.000000
2022-08-19 16:19:16 UTC,13387665,8.000000,10.000000
2022-08-19 16:19:33 UTC,13387666,0.000000,5.000000
2022-08-19 16:19:48 UTC,13387667,2.000000,7.000000
2022-08-19 16:20:02 UTC,13387668,3.000000,4.000000
2022-08-19 16:20:17 UTC,13387669,9.000000,0.000000
2022-08-19 16:20:33 UTC,13387670,10.000000,0.000000
2022-08-19 16:20:49 UTC,13387671,1.000000,0.000000
2022-08-19 16:21:05 UTC,13387672,0.000000,0.000000
2022-08-19 16:21:20 UTC,13387673,0.000000,0.000000
2022-08-19 16:21:36 UTC,13387674,7.000000,4.000000
2022-08-19 16:21:51 UTC,13387675,7.000000,6.000000
2022-08-19 16:22:07 UTC,13387676,4.000000,4.000000
2022-08-19 16:22:22 UTC,13387677,5.000000,9.000000
2022-08-19 16:22:37 UTC,13387678,12.000000,13.000000
2022-08-19 16:22:53 UTC,13387679,4.000000,11.000000
2022-08-19 16:23:08 UTC,13387680,3.000000,17.000000
2022-08-19 16:23:23 UTC,13387681,0.000000,15.000000
2022-08-19 16:23:39 UTC,13387682,0.000000,10.000000
2022-08-19 16:23:55 UTC,13387683,0.000000,5.000000
2022-08-19 16:24:11 UTC,13387684,0.000000,3.000000
2022-08-19 16:24:26 UTC,13387685,0.000000,0.000000
2022-08-19 16:24:42 UTC,13387686,2.000000,7.000000
2022-08-19 16:24:57 UTC,13387687,5.000000,0.000000
2022-08-19 16:25:13 UTC,13387688,7.000000,8.000000
2022-08-19 16:25:28 UTC,13387689,5.000000,15.000000
2022-08-19 16:25:44 UTC,13387690,1.000000,20.000000
2022-08-19 16:26:00 UTC,13387691,3.000000,33.000000
2022-08-19 16:26:16 UTC,13387692,0.000000,7.000000
2022-08-19 16:26:30 UTC,13387693,2.000000,6.000000
2022-08-19 16:26:45 UTC,13387694,6.000000,7.000000
2022-08-19 16:27:01 UTC,13387695,5.000000,22.000000
2022-08-19 16:27:16 UTC,13387696,5.000000,24.000000
2022-08-19 16:27:32 UTC,13387697,5.000000,23.000000
2022-08-19 16:27:48 UTC,13387698,1.000000,4.000000
2022-08-19 16:28:03 UTC,13387699,5.000000,0.000000
2022-08-19 16:28:19 UTC,13387700,3.000000,0.000000
2022-08-19 16:28:34 UTC,13387701,0.000000,6.000000
2022-08-19 16:28:50 UTC,13387702,1.000000,14.000000
2022-08-19 16:29:06 UTC,13387703,0.000000,12.000000
2022-08-19 16:29:21 UTC,13387704,1.000000,9.000000
2022-08-19 16:29:37 UTC,13387705,9.000000,9.000000
2022-08-19 16:29:52 UTC,13387706,11.000000,4.000000
2022-08-19 16:30:08 UTC,13387707,15.000000,16.000000
2022-08-19 16:30:23 UTC,13387708,25.000000,25.000000
2022-08-19 16:30:39 UTC,13387709,29.000000,17.000000
2022-08-19 16:30:55 UTC,13387710,15.000000,10.000000
2022-08-19 16:31:10 UTC,13387711,16.000000,3.000000
2022-08-19 16:31:26 UTC,13387712,12.000000,3.000000
2022-08-19 16:31:42 UTC,13387713,8.000000,2.000000
2022-08-19 16:31:57 UTC,13387714,5.000000,7.000000
2022-08-19 16:32:13 UTC,13387715,5.000000,8.000000
2022-08-19 16:32:28 UTC,13387716,12.000000,8.000000
2022-08-19 16:32:43 UTC,13387717,8.000000,11.000000
2022-08-19 16:32:59 UTC,13387718,7.000000,0.000000
2022-08-19 16:33:14 UTC,13387719,10.000000,0.000000
2022-08-19 16:33:29 UTC,13387720,9.000000,4.000000
2022-08-19 16:33:44 UTC,13387721,6.000000,7.000000
2022-08-19 16:34:00 UTC,13387722,7.000000,15.000000
2022-08-19 16:34:15 UTC,13387723,0.000000,1.000000
2022-08-19 16:34:31 UTC,13387724,0.000000,0.000000
2022-08-19 16:34:46 UTC,13387725,1.000000,2.000000
2022-08-19 16:35:02 UTC,13387726,1.000000,0.000000
2022-08-19 16:35:17 UTC,13387727,0.000000,0.000000
2022-08-19 16:35:32 UTC,13387728,4.000000,6.000000
2022-08-19 16:35:48 UTC,13387729,1.000000,7.000000
2022-08-19 16:36:03 UTC,13387730,1.000000,9.000000
2022-08-19 16:36:19 UTC,13387731,7.000000,12.000000
2022-08-19 16:36:35 UTC,13387732,5.000000,6.000000
2022-08-19 16:36:51 UTC,13387733,5.000000,2.000000
2022-08-19 16:37:06 UTC,13387734,8.000000,4.000000
2022-08-19 16:37:21 UTC,13387735,5.000000,21.000000
2022-08-19 16:37:36 UTC,13387736,0.000000,27.000000
2022-08-19 16:37:51 UTC,13387737,0.000000,21.000000
2022-08-19 16:38:07 UTC,13387738,0.000000,23.000000
